,Content,Timestamp,Coordenadas,Delito
107,Una Persona fue encontrada desmembrada en la perimetral sentido Sur-Norte por el sector de la Trinitaria;,2022-12-21 20:56:47,"-2.2402791, -79.9220686",1
108,Delincuentes llegan en un carro para robarse algunos accesorios de un vehículo que se encontraba parqueado en la Garzota al norte de la ciudad,2022-12-20 18:20:06,"-2.1478685, -79.8929407",1
109,"Delincuentes fueron capturados cuando robaban en un bus en la Avenida Quito, centro de la ciudad",2022-12-15 18:09:57,"-2.194905, -79.884937",1
110,Delincuente asaltó a una persona en el sector de García Avilés entre Luque y Vélez pleno centro de la ciudad,2022-12-06 17:59:04,"-2.194905, -79.884937",1
111,Delincuentes asaltaron a algunas personas incluidas a trabajadores de interagua sucedió en colinas de la florida al norte de la ciudad;,2022-12-06 17:38:59,"27.6648274, -81.5157535",1
112,"Agente de la @ATMGuayaquil, capturó a un delincuente en el centro de la ciudad cuando intentaba robar a una mujer",2022-12-06 15:03:20,"-2.194905, -79.884937",1
113,"Observen como delincuentes asaltaron a una persona que llegaba a su domicilio luego de salir de una entidad bancaria, sucedió en la Cdla Acuarelas del Río",2022-12-05 11:07:34,,1
114,Un caso de Sicariato se registró en flor de bastion bloque 21,2022-11-28 13:24:43,"-2.1035171, -79.9559316",1
115,"Un caso de sicariato se registró en la nueva prosperina, la víctima era un reciclador del sector",2022-11-15 22:36:01,"-2.1222554, -79.9679769",1
116,Delincuente no le importo que había un menor de edad para robar en la Alborada Tercera Etapa al norte de la ciudad,2022-11-11 21:57:05,,1
117,Terror en la gente de flor de bastion bloque 4 debido a una balacera que dejó algunos heridos,2022-11-09 21:26:54,"-2.1035171, -79.9559316",1
118,Delincuente asaltó a una mujer que iba con su hijo en brazos sucedió en Juan Montalvo al norte de la ciudad,2022-10-06 20:21:06,,1
119,"Delincuentes en moto asaltaron a 2 personas en Mapasingue Este, al norte de la ciudad",2022-10-05 15:49:05,"-2.155993, -79.9215725",1
120,Trabajador que entregaba mercadería fue asaltado en la mapasingue al norte de la ciudad,2022-10-02 12:30:28,"-2.155993, -79.9215725",1
121,Delincuente fue capturado cuando asaltaba en Sauces 4 al norte de la ciudad,2022-09-24 22:39:40,,1
122,"Delincuentes de nacionalidad extranjera, robaron a un ciudadano en Sauces 6 al norte de la ciudad",2022-09-18 19:06:08,,1
123,Se reporta un caso de Sicariato en la perimetral a la altura de la Prosperina,2022-09-12 18:59:05,,1
124,Lamentablemente un menor de 13 años falleció al ser una víctima colateral de un caso de sicariato que se registró la tarde de ayer en flor de bastion bloque 4,2022-09-11 17:16:35,"-2.1035171, -79.9559316",1
125,"Un ciudadano fue asaltado en las calles 36 y la E, suburbio de la ciudad;",2022-09-10 12:45:27,"-2.2277542, -79.93954389999999",1
126,"Videos muestra como fue el sicariato de una persona conocida con el alias de "" Gary "" en el cerro de mapasingue este",2022-09-09 12:35:48,"-2.155993, -79.9215725",1
127,Sujetos arrojaron un artefacto explosivo en un domicilio ubicado en el Guasmo Sur;,2022-09-05 10:07:32,"-2.2805355, -79.8757351",1
128,"Alrededor de 20 disparos recibió el policía que fue asesinado en el Guasmo Sur, cuando salía de su turno de amanecida",2022-08-17 16:36:04,"-2.2805355, -79.8757351",1
129,Delincuente asaltó en un taller de pinturas ubicado en la 17 y Francisco de Marcos al suroeste de la ciudad,2022-08-15 15:46:38,"-2.2277542, -79.93954389999999",1
130,"Cómo aves de rapiñas, delincuentes asaltaron a un ciudadano que se encontraba al interior de su vehículo en los Ceibos al norte de la ciudad",2022-08-04 10:30:07,"-2.1666402, -79.94511349999999",1
131,Delincuente en moto se robó un accesorio de un vehículo en Guerrero Valenzuela y Argentina,2022-07-17 22:46:25,"-2.2165327, -79.92324719999999",1
132,Reportan un caso de Sicariato en Flor de Bastión Bloque 4 al norte de la ciudad,2022-07-11 22:16:59,"-2.1035171, -79.9559316",1
133,En la Floresta 2 se reportó un caso de sicariato dejando un saldo de 2 personas heridas hasta el momento,2022-07-11 21:19:24,,1
134,Delincuente se robó unos retrovisores de un vehículo en Leonidas García y Portete para luego huir junto a su compinche en una motocicleta,2022-07-09 20:16:27,"-2.2277542, -79.93954389999999",1
135,"Vídeo muestra como fue el sicariato en la Cooperativa Pastor Vera, sector Juan Montalvo dejando como saldo 2 fallecidos y un mujer gravemente herida",2022-06-21 22:20:15,,1
136,Un caso de Sicariato se registró en el sector de Urdenor 1 al norte de la ciudad,2022-06-12 18:16:08,"-2.1462974, -79.90317759999999",1
137,"4 personas fueron asesinadas en el sector de Flor de Bastión al norte de la ciudad, los crímenes se deben a peleas entre bandas;",2022-06-11 15:09:27,"-2.1035171, -79.9559316",1
138,Vídeo muestra como fue el sicariato en la martha de roldos en la tarde de ayer,2022-06-10 13:24:09,"-2.2758147, -79.887782",1
139,"Delincuentes asaltaron la estación de la cooperativa Pascuales ubicada en Puente Lucia, al norte de la ciudad",2022-06-10 11:35:01,"-2.0721549, -79.9345141",1
140,Reportan un caso de sicariato en la Martha de Roldos al norte de la ciudad,2022-05-21 20:16:28,"-2.2758147, -79.887782",1
141,Delincuente en la compañía de un menor de edad asaltaron un asadero de pollos en Mucho Lote 1,2022-05-17 19:24:49,"-2.0817392, -79.9206694",1
142,Delincuentes asaltaron en un local en el sector de Guayacanes al norte de la ciudad,2022-05-06 18:36:47,"18.4249461, -69.4575979",1
143,Delincuentes le robaron el celular a una mujer en el Guasmo Sur,2022-05-01 16:07:38,"-2.2805355, -79.8757351",1
144,Hace pocos minutos se registró un caso de sicariato en el sector de la entrada de la 8,2022-04-30 22:04:26,"-2.1230321, -79.9514464",1
145,"Delincuentes asaltaron a unas personas en Sauces 9, al norte de la ciudad",2022-04-27 21:28:02,,1
146,Reportes indican que un Cabo Primero de la Policia fue asesinado en los exteriores de un TUTI ubicado en Monte Sinai,2022-04-26 20:42:36,"28.5392576, 33.9749193",1
147,Banda de delincuentes en algunas motos asaltó un bus de la Línea 160 en en el sector de La Ladrillera,2022-04-26 19:19:01,"-2.1230321, -79.9514464",1
148,Sicarios se metieron al interior de una casa ubicada en el guasmo sur para acabar con la vida de una persona,2022-04-25 18:15:32,"-2.2805355, -79.8757351",1
149,Mujeres roban astutamente en un local de ropa en el sector de Sauces 8,2022-04-25 16:50:24,,1
150,"Pistoleros se grabaron cuando acabaron la vida de una persona conocida con el alias de "" Orejas "" en el sector de Socio Vivienda 2",2022-04-21 16:16:02,"-2.0950184, -79.9867898",1
151,"En el sector de la Huancavilca Sur , delincuente asaltó con cuchillo en mano a una mujer que caminaba por el sector",2022-04-16 15:40:46,"-2.2349311, -79.9002713",1
152,Reportan un caso de sicariato en Bastión Popular al norte de la ciudad,2022-04-14 15:02:01,"-2.0844835, -79.9309719",1
153,Delincuente trepó una muro para robar a un vehículo que transitaba en la perimetral en sentido sur a norte a la altura de las Malvinas,2022-04-09 14:31:24,"54.5259614, -105.2551187",1
154,"Delicuente asaltó un cyber ubicado en valle de la flor, al norte de la ciudad",2022-04-09 13:40:19,"-2.1222554, -79.9679769",1
155,Delincuentes en moto asaltaron a una persona en mapasingue este al norte de la ciudad,2022-04-06 13:08:15,"-2.155993, -79.9215725",1
156,Delincuentes entraron a un local ubicado en el barrio del seguro para robarse $5000 para luego huir en una motocicleta,2022-04-06 13:56:49,,1
157,Delincuentes asaltaron a un camión repartidor de lácteos en el sector de Los Vergeles,2022-04-05 11:36:47,"-2.2514992, -79.8793833",1
